x0,y0,x1,y1,x2,y2,x3,y3
"(634.0, 138.5)","(398.5, 27.0)","(598.5, 410.5)"
"(633.5, 137.0)","(395.5, 27.5)","(604.0, 412.0)"
"(635.0, 136.5)","(393.5, 29.0)","(607.5, 411.5)"
"(634.5, 134.0)","(392.5, 30.5)","(609.0, 413.5)"
"(635.0, 132.0)","(392.0, 31.5)","(610.5, 415.0)"
"(635.5, 128.0)","(390.0, 31.0)","(610.5, 416.5)"
"(636.5, 125.0)","(388.0, 33.5)","(610.5, 418.0)"
"(636.5, 121.0)","(387.5, 35.0)","(611.5, 419.5)"
"(638.5, 118.0)","(387.0, 38.0)","(612.0, 421.0)"
"(637.5, 113.5)","(386.5, 39.0)","(615.5, 422.0)"
"(637.5, 110.5)","(385.5, 38.0)","(616.0, 422.5)"
"(637.5, 107.5)","(385.0, 39.5)","(617.0, 422.5)"
"(639.0, 107.0)","(384.5, 40.5)","(616.5, 421.5)"
"(639.5, 106.5)","(383.5, 38.5)","(615.5, 422.0)"
"(639.0, 105.5)","(383.5, 40.0)","(616.5, 423.5)"
"(641.0, 104.0)","(383.0, 40.0)","(617.0, 423.0)"
"(641.5, 104.0)","(382.5, 38.0)","(616.5, 422.5)"
"(641.0, 102.0)","(382.5, 36.0)","(618.0, 422.0)"
"(642.0, 100.5)","(382.0, 33.5)","(618.0, 422.0)"
"(641.0, 100.0)","(381.0, 35.5)","(618.5, 421.5)"
"(641.5, 97.5)","(380.5, 33.0)","(617.5, 421.5)"
"(642.0, 95.5)","(379.5, 30.5)","(618.5, 419.5)"
"(641.5, 92.5)","(380.5, 31.5)","(617.0, 418.0)"
"(641.0, 90.5)","(381.0, 33.0)","(615.5, 417.5)"
"(642.0, 88.0)","(379.0, 36.0)","(614.0, 416.5)"
"(642.0, 86.5)","(376.5, 39.5)","(613.5, 416.0)"
"(641.5, 85.0)","(374.5, 38.5)","(612.5, 414.5)"
"(641.0, 83.5)","(371.5, 41.5)","(611.0, 413.5)"
"(640.5, 83.5)","(368.0, 43.0)","(609.5, 412.0)"
"(640.5, 81.5)","(365.0, 43.5)","(608.5, 409.5)"
